subject;questionType;id;completed;question;answers/0;answers/1;answers/2;answers/3;answers/4;answers/5;answers/6;answers/7;answers/8;answers/9;answers/10;answers/11;answers/12;answers/13;answers/14;answers/15;answers/16;answers/17;answers/18;answers/19;correct/0;correct/1;correct/2;correct/3;correct/4;correct/5;correct/6;correct/7;correct/8;correct/9;correct/10;correct/11;correct/12;correct/13;correct/14;correct/15;correct/16;correct/17;correct/18;correct/19;title/0;title/1;title/2;title/3;title/4;title/5;title/6;title/7;title/8;title/9;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;MC;1017;false;Welche Merkmale treffen auf das externe Rechnungswesen zu?;Frei von gesetzlichen Vorschriften;Vergangenheitsbezogen;An gesetzliche Vorschriften gebunden;Freie Gestaltung;Aufgaben: Dokumentation, Rechenschaftslegung, Information, Kontrolle;Zukunftsbezogen;Aufgaben: Kostenrechnung, Planungsrechnung;;;;;;;;;;;;;;0;1;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;DD;1018;false;Ordne folgende Positionen der jeweiligen Bilanzseite zu.;Forderungen;Rückstellungen;Maschinen;Gezeichnetes Kapital;Grundstücke;Darlehen;Kapitalrücklagen;Gebäude;Gewinnrücklagen;Fuhrpark;;;;;;;;;;;1;2;1;2;1;2;2;1;2;1;;;;;;;;;;;Aktiva;Passiva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;MC;1019;false;Welche der folgenden Geschäftsvorfälle sind erfolgswirksam?;Rohstoffeinkauf in bar;Zahlung einer Verbindlichkeit;Verkauf von eigenen Erzeugnissen auf Ziel;Aufnahme eines Darlehens;Rohstoffe gehen in die Produktion;Maschine wird abgeschrieben;Miete für Lagerhalle wird bezahlt;Darlehenszinsen werden gezahlt;;;;;;;;;;;;;0;0;1;0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;SC;1020;false;Was gehört nicht zu einem Jahresabschluss nach HGB?;Bilanz;Lagebericht;Anhang (bei Kapitalgesellschaften);Gewinn- und Verlustrechnung;;;;;;;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;DD;1021;false;Gehören folgende Gesellschaftsformen zu den Kapitalgesellschaften oder Personengesellschaften? ;KGaA;KG;OHG;AG;GmbH;GbR;;;;;;;;;;;;;;;1;2;2;1;1;2;;;;;;;;;;;;;;;Kapitalgesellschaft;Personengesellschaft;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;SC;1022;false;Welche Komponente zählt nicht zu den Anschaffungskosten nach §255 HGB?;Anschaffungspreis;Umsatzsteuer;Anschaffungsnebenkosten;Nachträgliche Anschaffungsnebenkosten;Anschaffungspreisminderungen;Vertriebskosten/ Sondereinzelkosten des Vertriebs;;;;;;;;;;;;;;;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;DD;1023;false;Besteht Aktivierungspflicht, -wahlrecht oder -verbot? ;Sondereinzelkosten der Fertigung;Material- und Fertigungsgemeinkosten;Fertigungseinzelkosten;Fremdkapitalkosten (bedingt);Forschungskosten;Aufwendungen für soziale Einrichtungen;Leerkosten (Kosten der U>nterbeschäftigung);Materialeinzelkosten;Allgemeine Verwaltungskosten;;;;;;;;;;;;1;1;1;2;3;2;3;1;2;;;;;;;;;;;;Pflicht;Wahlrecht;Verbot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;MC;1024;false;Welche Aussagen über HGB und IFRS sind korrekt?;Für Vorräte gilt nach HGB das strenge Niederstwertprinzip (Abschreibungspflicht), während unter IFRS nur dann abgeschrieben werden muss, wenn die Erzeugnisse nicht mit Gewinn verkauft werden können.;Sowohl unter HGB als auch unter IFRS dürfen Kosten der allgemeinen Verwaltung und der Aufwendungen für soziale Einrichtungen in die Herstellungskosten miteinberechnet werden.;Das LiFo-Verfahren ist unter HGB zulässig, nicht aber unter IFRS.;Nach einer außerplanmäßigen Abschreibung darf bei einer Wertaufholung unter HGB über die fortgeführten Anschaffungskosten zugeschrieben werden, unter IFRS nicht.;Fremdkapitalkosten müssen unter IFRS in die Herstellungskosten miteinberechnet werden, während unter HGB ein Wahlrecht besteht.;;;;;;;;;;;;;;;;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;DD;1025;false;Ordne folgende Kennzahlen richtig zu.;Gewinn/ durchschnittliches EK;Fremdkapital/ Gesamtkapital;Fremdkapital/ Eigenkapital;Jahresergebnis/ Umsatzerlöse;Jahresergebnis/ durchschnittliches Gesamtkapital;;;;;;;;;;;;;;;;2;4;1;5;3;;;;;;;;;;;;;;;;Verschuldungsgrad;EK-Rentabilität;ROI;Fremdkapitalquote;Umsatzrentabilität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;TQ;1026;false;Bilanz und GuV;In einer;;werden jeweils zum Ende eines Geschäftsjahres;;gegenübergestellt, hier sind also;;relevant. Die ;;erfasst;;innerhalb eines Geschäftsjahres, daher sind;;relevant.;;;;;;;;;6;;4;;1;;5;;2;;3;;;;;;;;;Stromgrößen;Gewinn- und Verlustrechnung;Bilanz;Aufwändungen und Erträge;Aktiva und Passiva;Bestandsgrößen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;TQ;1027;false;Geschäftsvorfälle;Eine Bestandsbuchung kann folgende Auswirkungen auf die Bilanz haben:;;(z.B. Kauf einer Maschine auf Ziel);;(z.B. Tilgung einer Verbindlichkeit);;(z.B. Kauf von Rostoffen in bar) oder;;(z.B. Tilgung eines Kontokorrentkredits durch Aufnahme eines Darlehens). Eine Erfolgsbuchung kann das Eigenkapital entweder erhöhen (;;) oder mindern (;;).;;;;;;;;;3;;6;;2;;5;;1;;4;;;;;;;;;Aktivtausch;Aufwendung;Bilanzverkürzung;Ertrag;Bilanzverlängerung;Passivtausch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;TQ;1028;false;Buchungstechnik;Bei Konten auf der Aktivseite werden;;und;;gebucht. Auf der Passivseite werden;;und;;gebucht.;;;;;;;;;;;;;3;;2;;1;;4;;;;;;;;;;;;;Zugänge im Haben;Abgänge im Haben;Zugänge im Soll;Abgänge im Soll;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;TQ;1029;false;Bewertung in der Bilanz;Für Wertkorrekturen auf der Aktivseite gilt das;;. Dabei gilt das strenge für das;;und das gemilderte für das;;. Für Wertkorrekturen auf der Passivseite gilt hingegen das;;.;;;;;;;;;;;;;2;;4;;1;;3;;;;;;;;;;;;;Umlaufvermögen;Höchstwertprinzip;Niederstwertprinzip;Anlagevermögen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierung;TL;1030;false;Übersetzungfrage;debt;cashflow statement;current assets;balance sheet;expense;equity;fixed assets;income statement;balance sheet total;revenue;;;;;;;;;;;9;3;5;1;7;8;4;2;10;;;;;;;;;;;;Bilanz;GuV;Kapitalflussrechnung;Anlagevermögen;Umlaufvermögen;Ertrag;Aufwendung;Eigenkapital;Fremdkapital;Bilanzsumme;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;DD;1031;false;Ordne die folgenden Tätigkeiten den Primäraktivitäten zu.;Wartung;Auftragsannahme;Lagerhaltung Einsatzmaterialien;Preisverhandlung;Schweißen, Fräsen;Montage;Promotion;Inventur;Kommissionierung;Lagerhaltung Fertigwaren;Qualitätssicherung;Verpackung;Warenannahme;;;;;;;;2;4;1;4;2;2;4;1;3;3;2;3;1;;;;;;;;Operations;Outbound Logistics;Marketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;DD;1032;false;Ordne die folgenden Tätigkeiten den Unterstützungsaktivitäten zu.;Produktentwicklung;Buchhaltung;Preisverhandlung;Entwicklung Verfahrenstechnick;Controlling;Personalbeurteilung;Facility Management;Abschluss Rahmenvertrag;Lieferantenauswahl;SW-Entwicklung für die Produktion;Mahnwesen;;;;;;;;;;3;1;4;3;1;2;1;4;4;3;1;;;;;;;;;;Human Ressource;Technology development;Procurement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;SC;1033;false;Wähle das richtige Teilgebiet der BWL aus.;Geldpolitik und Fiskalpolitik;Finanzierung und Personalwirtschaft (HR);Arbeitsmarktpolitik und Forschung und Entwicklung;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;SC;1034;false;Welcher der folgenden Prozesse ist nicht Teil der sekundären Aktivitäten?;Gegenstand der BWL ist das Aufstellen von Prognosen zur Entwicklung eines Wirtschaftsraums.;Gegenstand der BWL sind Sachverhalte und Vorgänge innerhalb eines Unternehmens.;Die BWL versucht Lösungsansätze für alle betrieblichen Abläufe und Prozesse zu entwickeln.;Die BWL umfasst die Planung, Organisation und Steuerung des betrieblichen Geschehens.;;;;;;;;;;;;;;;;;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;SC;1035;false;Welche der folgenden Aussagen zur Produktivität sind korrekt?;Ein Unternehmen mit hoher Produktivität ist auch wirtschaftlich.;Produktivitätsfortschritte werden heute primär durch die höhere Belastung der Mitarbeiter erreicht.;Produktivität misst das Verhältnis von Input-Menge zu Output-Menge.;Produktivität misst das Verhältnis von Output-Menge zu Input-Menge.;;;;;;;;;;;;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;SC;1036;false;Was ist Aufgabe der Unternehmensführung?;Einzelpläne der Funktionsbereiche zu erstellen.;übergeordnete Unternehmensziele zu bestimmen.;Einzelpläne der Funktionsbereiche zielkonform zusammenzufassen.;benötigte Informationen zu erheben.;;;;;;;;;;;;;;;;;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;MC;1037;false;Was trifft auf das betriebliche Rechnungswesen zu?;Es dient der Planung, Steuerung und Kontrolle eines Unternehmens.;Unternehmen sind verpflichtet, Rechnungswesen zu betreiben.;Die Dokumentation ist der erste Schritt des betrieblichen Rechnungswesens.;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLAllgemein;MC;1038;false;Welcher der folgenden Prozesse sind nicht Teil der primären Aktivitäten?;Bereitstellung von Informationen für unternehmensinterne Adressaten;Bereitstellung von Informationen für unternehmensexterne Adressaten;Bereitstellung von Informationen Investitionsentscheidungen;Bereitstellung von Informationen über die Kosten von Produkten;Bereitstellung von Inormationen über die Kosten der Vertriebsabteilung;Ermittlung des Jahresüberschusses (Gewinn) eines Unternehmens;Unterstützung der Unternehmensführung in Koordinations- und Steuerungsfunktionen;Keiner der genannten Prozesse;;;;;;;;;;;;;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLBusinessModelCanvas;SC;1039;false;Ein Retailer ist ein Beispiel für einen Vertriebskanal.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLBusinessModelCanvas;SC;1040;false;Die Produktion gehört zu den Key Activities eines Unternehmens.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLBusinessModelCanvas;SC;1041;false;Das Design eines Produktes zählt nicht zur Value Proposition.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLBusinessModelCanvas;SC;1042;false;Der Begriff Customer Segments bezeichnet die Einteilung des Markts in verschiedene Kundengruppen.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLBusinessModelCanvas;SC;1043;false;Der Lieferant ist ein Schlüsselpartner eines Unternehmens.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1044;false;Das Minimalprinzip beschreibt den Vorgang, ein festgelegtes Ziel mit möglichst wenig Einsatz zu erreichen.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1045;false;Beim Minimalprinzip ist der Input vorgegeben und der Output die zu suchende Größe.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1046;false;Das Maximalprinzip beschreibt den Vorgang, mit festgelegtem Einsatz ein möglichst gutes Ziel zu erreichen.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1047;false;Beim Maximalprinzip ist der Output vorgegeben und der Input die zu suchende Größe.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1048;false;Um wirtschaftlich optimal zu handeln, sollten Einsatz und Ergebnis im optimalen Verhältnis zueinander stehen.;Richtig;Falsch;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1049;false;Für die Montage eines Autos (Output) sollen möglichst wenige Arbeitsstunden (Aufwand) anfallen.;Minimalprinzip;Maximalprinzip;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1050;false;Mit einem Hektar Ackerfläche soll ein möglichst hoher Output erzeugt werden.;Minimalprinzip;Maximalprinzip;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1051;false;Der geplante Umsatz eines Unternehmens in Höhe von zehn Millionen Euro soll mit möglichst wenigen Vertriebsmitarbeitern erzielt werden.;Minimalprinzip;Maximalprinzip;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1052;false;Ein Autofahrer hat eine definierte Menge an Benzin (Input) und versucht nun mit dieser Menge die größtmögliche Distanz zu fahren (Output).;Minimalprinzip;Maximalprinzip;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1053;false;Die Abschlussnote 2,5 soll mit möglichst wenig Lernaufwand erreicht werden.;Minimalprinzip;Maximalprinzip;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1054;false;Eine Nagelfeile wird verwendet, um einen Baum zu fällen.;Effektivität;Effizienz;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1055;false;Bei der Reise von Mannheim nach München wird ein direkter ICE gebucht.;Effektivität;Effizienz;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1056;false;Im Rahmen einer Kundenzufriedenheitsbefragung geht ein Mitarbeiter von Haus zu Haus und ermittelt die Zufriedenheit einzeln.;Effektivität;Effizienz;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1057;false;Um ein kleines Feuer zu löschen werden zwei Liter Champagner verwendet.;Effektivität;Effizienz;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLÖkonomischesPrinzip;SC;1058;false;Ein Fahrrad wird nur mit einem Lappen und Wasser geputzt.;Effektivität;Effizienz;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;MC;1059;false;Aus welchen elementaren Bausteinen besteht die Value Chain?;Gewinnspanne;Primäraktivitäten;Geschäftsprozesse;sekundäre Aktivitäten;Strategie-Beratung;;;;;;;;;;;;;;;;1;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1060;false;Ordne folgende Begriffe zu.;Einkauf und Beschaffung;Produktion;Personalwirtschaft;Marketing und Vertrieb;Kundenservice;;;;;;;;;;;;;;;;2;3;4;5;1;;;;;;;;;;;;;;;;Customer Relationship Management;Procurement;Production Planning;HR;Sales Distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;DD;1061;false;Sind folgende Aktivitäten primär oder sekundär?;Eingangslogistik;Beschaffung;Ausgangslogistik;Technologieentwicklung;Marketing;Personalwirtschaft;Produktion;Unternehmensinfrastruktur;Kundendienst;;;;;;;;;;;;1;2;1;2;1;2;1;2;1;;;;;;;;;;;;Primäre Aktivitäten;Sekundäre Aktivitäten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;SC;1062;false;Welche der folgenden Aussagen ist wahr?;Es gibt keinen Unterschied zwischen sekundären und primären Aktivitäten.;Primäraktivitäten sind die Tätigkeiten, die einen direkten wertschöpfenden Beitrag zur Erstellung eines Produktes oder einer Dienstleistung liefern. Sekundäre Aktivitäten sind Tätigkeiten, die für die Ausübung der primären Aktivitäten die notwendige Voraussetzung sind. Sie liefern somit einen indirekten Beitrag zur Erstellung eines Produktes oder einer Dienstleistung.;Sekundäre Aktivitäten  sind die Tätigkeiten, die einen direkten wertschöpfenden Beitrag zur Erstellung eines Produktes oder einer Dienstleistung liefern. Primäre Aktivitäten sind Tätigkeiten, die für die Ausübung der sekundären Aktivitäten die notwendige Voraussetzung sind. Sie liefern somit einen indirekten Beitrag zur Erstellung eines Produktes oder einer Dienstleistung.;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWLPorter;MC;1063;false;Welche der folgenden Aussagen sind wahr?;Die Value Chain von Michale Porter stellt die Stufen der Produktion als eine geordnete Reihung von Tätigkeiten dar.;Die Wertschöpfungskette besteht aus primären Aktivitäten wie beispielsweise der Personalwirtschaft und sekundären Aktivitäten wie beispielsweise Marketing und Vertrieb.;Die Portersche Value Chain setzt sich aus den einzelnen Wertaktivitäten und der Gewinnspanne zusammen. Wertaktivitäten sind Tätigkeiten, die zur Herstellung eines Produktes oder einer Dienstleistung erbracht werden. Die Gewinnspanne ist der Unterschied zwischen dem Ertrag, den dieses Produkt erbringt, und den eingesetzten Ressourcen.;;;;;;;;;;;;;;;;;;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
